No.;Municipal District;Regional Public Highways (km);Unpaved Roads (km);Unclassified Roads (km);Winter Roads (km);Watercourses (km);Water Bodies (km²);Forest Area (km²);Average Elevation (m);Average Slope (°);Distance to Nearest Settlement (median, km);Winter Road to Watercourse Distance (Euclidean, km);Road Surface Type;Permafrost Zone Area (km²);Swamp Area (km²);Average Snow Depth (cm);Oil & Gas Pipeline Length (km);Power Line Length (km);Power Line & Highway Crossings (count);Winter Road & Power Line Crossings (count);Winter Road & Watercourse Crossings (count);Power Line & Winter Road Crossings (count);Pipeline & Highway Crossings (count);Pipeline & Winter Road Crossings (count);Winter Roads (count);Name;Opening Date;Closing Date;Length (km);River crossing(count);Crossing Name;Opening Date;Load Capacity (tons);Closing Date;Population Density (people/km²);Total Permanent Population (2025);Urban Permanent Population (2025);Rural Permanent Population (2025);Urbanization Rate (%)
18;город Минусинск;35,864;2,623;2,623;0;0,578;0;60.0;276,00;0,99;0,00;0,00;10,00;0;0,886;1,5;0;385,732;5;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;2,046;70699;70699;0;100
19;город Назарово;13,643;3,016;3,016;0;9,243;0;86.0;256,00;0,52;0,00;0,00;10,00;0;0,065;3;8,539;204,497;3;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;8,346;43770;43770;0;100
20;город Норильск;103,077;19,732;19,732;0;0;114,506;4488.0;114,00;0,90;0,00;0,00;7,00;45216,449;750,133;5,119565217;0;739,373;39;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;3,722;176468;176468;0;100
21;город Шарыпово;13,582;2,43;2,43;0;0;0;34.0;316,50;0,47;0,00;0,00;12,00;0;0;5,119565217;0;376,702;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;0,053;40282;40282;0;100
22;Дзержинский муниципальный район;58,771;0;0;0;0;0;3576.0;249,00;0,72;0,00;0,00;5,00;0;101,158;4,328571429;0;226,661;2;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;1,799;11177;0;11177;0
23;Емельяновский муниципальный район;95,086;37,009;37,009;0;45,305;0;7299.0;338,00;1,09;0,00;22,98;5,00;0;15,53;5,219178082;388,47;115,767;27;0;0;0;3;0;0;0;0;-;-;-;-;-;-;-;5,981;55863;15637;40226;28
24;Енисейский муниципальный район;238,209;277,688;600,245;1192,235;476,945;0;105323.0;149,00;0,33;0,00;3,49;5,00;2,898;1483,775;7,343482398;0;639,52;12;0;4;0;0;0;10;"Дорога ""Енисейск - Ярцево - Ворогово - Бор""; Дорога Енисейск-Ярцево-Ворогово-Бор (зимник); Дорога Момотово-Захаровка-Стрелка (зимник); Дорога Обход Енисейска (зимник); Дорога Подъезд к Александровскому Шлюзу; Дорога Подъезд к Майскому; Дорога Подъезд к Никулино; Дорога Усть-Кемь - Новоназимово (зимник); Дорога Ялань - Маковское (зимник); Дорога Ярцево - Сым (зимник)";"12 декабря 2024; 19 марта 2025; 03 декабря 2024; 20 декабря 2024; 12 декабря 2024; 12 декабря 2024; 12 декабря 2024; -; 05 декабря 2024; 12 декабря 2024";"01-11 апреля 2025; 28 марта 2025";"178,45+333,58; 3,44";2;"Дорога Епишино-Северо-Енисейский (0+066); Дорога Мотыгино-Широкий Лог (140+100)";"21.02.2025; 07.03.2025";"-; -";"29.03.2025; 18.03.2025";5,635;20977;3451;17526;18
25;Ермаковский муниципальный район;9,085;11,119;11,119;0;111,917;0;17578.0;1234,00;7,17;15,44;15,10;5,00;25827,003;24,866;5,826589595;0;145,553;0;0;0;0;0;0;0;0;0;-;-;1;Дорога Жеблахты-Ивановка (0+959);45647;-;45735;1,798;17151;0;17151;0
26;ЗАТО город Железногорск;43,78;6,892;6,892;0;13,906;0;451.0;212,00;1,20;0,00;0,00;5,00;0;56,007;3,166666667;14,827;330,184;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;34,588;87322;85408;1914;98
27;ЗАТО город Зеленогорск;21,943;46,18;46,18;0;11,209;0;161.0;219,00;1,13;0,69;1,30;5,00;0;15,494;2;4,011;77,949;2;0;1;0;0;0;0;0;0;-;-;-;-;-;-;-;5,121;52389;52389;0;100
28;ЗАТО поселок Солнечный;1,694;0,942;0,942;0;0;0;3.0;404,00;1,04;0,00;0,00;12,00;0;0;0;0;139,153;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;2,445;8412;8412;0;100
29;Идринский муниципальный район;18,222;4,145;4,145;3,955;0;0;6052.0;578,00;2,69;8,25;;5,00;0;0;4,206349206;0;228,803;3;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;0,418;10105;0;10105;0
