№;Муниципальное образование район;Краевые и региональные автодороги общего пользования(км);Дороги с грунтовым покрытием(км);Неклассифицированные дороги(км);Зимники(км);Водотоки(км);Водоемы(км^2);Площадь лесов(км^2);Средняя высота(м);Средняя крутизна(°);Расстояние от зимника до ближайшего населенного пункта (км);Расстояние от зимника до водотока (км);Тип покрытия(1-17);Площадь криолитозоны(км^2);Площадь болот(км^2);Средняя высота снежного покрова (cм) ;Длина нефтегазопроводов(НГП)(км);Длина ЛЭП(км);Пересечение ЛЭП и автодорог(кол-во);Пересечение зимников и ЛЭП(кол-во);Пересечение зимников и водотоков(кол-во);Пересечение ЛЭП и зимников(кол-во);Пересечение НГП и автодорог(кол-во);Пересечение НГП и зимников(кол-во);Зимники(кол-во);Название(текст);Дата открытия(дата);Дата закрытия(дата);Протяженность(км);Перепрвы (Кол-во);Название переправы;Дата открытия(дата);Грузоподъемность (тонн);Дата закрытия(дата);Плотность населения (чел/км^2);Постоянное населенее сводное (чел);Постоянное населенее городское (чел);Постоянное населенее селеское (чел);Оценка урбанизации территорий( %)
40;Минусинский муниципальный район;91,293;90,094;90,094;0;59,601;104,426;3192.0;379;1,342171073;0;0;12;0;6,264;2,14516129;0;0;5;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;2,49;23894;0;23894;0
41;Мотыгинский муниципальный район;125,176;30,89;30,89;42,946;246,757;0;18893.0;340;1,806243181;86,074865;88,925093;5;0;17,084;6,852631579;225,95;722,267;4;0;0;0;1;0;2;"Дорога Кирсантьево - Устье - Машуковка; Дорога Момотово-Захаровка-Стрелка (зимник)";;"21 марта 2025; 28 марта 2025";"11,05; 11,08";3;"Дорога Мотыгино-Широкий Лог (15+780); Дорога Мотыгино-Широкий Лог (58+715); Дорога Мотыгино-Широкий Лог-Машуковка (24+400)";"-; 14.03.2025; 14.03.2025";"-; -; -";"09.04.2024; 04.04.2025; 21.03.2025";0,014;11824;6631;5193;58
42;Назаровский муниципальный район;77,499;5,573;5,573;0;43,701;0;4217.0;315;0,868365824;0;0;12;0;1,549;3,151162791;178,579;955,521;12;0;0;0;7;0;0;0;0;-;-;-;-;-;-;-;0,094;19865;0;19865;0
43;Нижнеингашский муниципальный район;0;2,234;2,234;40,877;0;0;6201.0;292;0,72487098;43,240983;0;5;0;82,154;5,103174603;149,934;277,119;0;0;0;0;0;0;3;"Дорога Ильинка - Южная Тунгуска (зимник); Дорога Тиличеть-Кедровый (зимник); Дорога Южная Тунгуска - Сосновка (зимник)";;"21 марта 2025; 09 марта 2025; 20 декабря 2022";"25,05; 15,98; 8,15";-;-;-;-;-;5,468;23137;13182;9955;58
44;Новоселовский муниципальный район;117,404;0;0;0;122,947;419,674;3929.0;408;2,15076685;0;0;12;0;0;2,75;29,107;114,832;9;0;0;0;2;0;0;0;0;-;-;1;Дорога Новоселово-Пристань (5+330);45679;-;19.03.2025.;4,666;10456;0;10456;0
45;Партизанский муниципальный район;10,555;15,132;15,132;0;0;0;4921.0;814;2,969527841;0;0;1;2730,465;132,056;4,688888889;9,582;200,015;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;0,765;7801;0;70801;0
46;Пировский муниципальный округ;66,954;0;0;84,451;0;0;6180.0;205;0,43949607;0;0;5;0;0,018;6,5;0;368,903;4;0;0;0;0;0;2;"Дорога Кирсантьево-Устье-Машуковка (зимник); Дорога Тасеево - Усть-Кайтым (зимник)";;"31 марта 2025; 20 марта 2025";"20,08; 29,53";-;-;-;-;-;14,696;5571;0;5571;0
47;поселок Кедровый;0;0;0;0;0;0;27.0;320;1,036830544;0;0;5;0;0;0;0;53,342;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;35,783;3707;3707;0;100
48;Рыбинский муниципальный район;158,275;5,674;5,674;0;46,601;0;3542.0;350;1,023741722;0;0,70804;5;0;13,254;3,578125;82,275;32,944;28;0;0;0;4;0;0;0;0;-;-;-;-;-;-;-;420,883;29014;15031;13983;52
49;Саянский муниципальный район;33,428;63,154;63,154;0;142,295;0;7991.0;822;3,851180077;0;0;5;20169,777;97,195;4,716049383;103,62;21,129;1;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;238,814;8889;0;8889;0
